SDR Valuations,,,,,
,,,,,
Report date,Currency Unit,Currency amount under Rule O-1,Exchange rate,U.S. Dollar equivalent,Percent change in exchange rate against U.S. dollar from previous calculation
,,,       SDR1 = US$,1.1454,0.07
,,,,,
02-Oct-81,Deutsche mark,0.46,2.2932,0.200593,1.692
02-Oct-81,French franc,0.74,5.5025,0.134484,1.554
02-Oct-81,Japanese yen,34,230.62,0.147429,1.149
02-Oct-81,U.K. pound,0.071,1.8305,0.129966,0
02-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.152472,
,,,     U.S.$1.00 = SDR,0.8677,
,,,       SDR1 = US$,1.15247,0.617
,,,,,
05-Oct-81,Deutsche mark,0.46,2.2435,0.205037,2.215
05-Oct-81,French franc,0.74,5.615,0.13179,-2.004
05-Oct-81,Japanese yen,34,228.82,0.148588,0.787
05-Oct-81,U.K. pound,0.071,1.8335,0.130179,0.164
05-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.155594,
,,,     U.S.$1.00 = SDR,0.865356,
,,,       SDR1 = US$,1.15559,0.271
,,,,,
06-Oct-81,Deutsche mark,0.46,2.2255,0.206695,0.809
06-Oct-81,French franc,0.74,5.576,0.132712,0.699
06-Oct-81,Japanese yen,34,228.07,0.149077,0.329
06-Oct-81,U.K. pound,0.071,1.854,0.131634,1.118
06-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.160118,
,,,     U.S.$1.00 = SDR,0.861981,
,,,       SDR1 = US$,1.16012,0.392
,,,,,
07-Oct-81,Deutsche mark,0.46,2.2155,0.207628,0.451
07-Oct-81,French franc,0.74,5.56,0.133094,0.288
07-Oct-81,Japanese yen,34,228.62,0.148718,-0.241
07-Oct-81,U.K. pound,0.071,1.8625,0.132238,0.458
07-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.161678,
,,,     U.S.$1.00 = SDR,0.860824,
,,,       SDR1 = US$,1.16168,0.134
,,,,,
08-Oct-81,Deutsche mark,0.46,2.2285,0.206417,-0.583
08-Oct-81,French franc,0.74,5.5875,0.132438,-0.492
08-Oct-81,Japanese yen,34,228.75,0.148634,-0.057
08-Oct-81,U.K. pound,0.071,1.883,0.133693,1.101
08-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.161182,
,,,     U.S.$1.00 = SDR,0.861191,
,,,       SDR1 = US$,1.16118,-0.043
,,,,,
09-Oct-81,Deutsche mark,0.46,2.1845,0.210575,2.014
09-Oct-81,French franc,0.74,5.48,0.135036,1.962
09-Oct-81,Japanese yen,34,226.9,0.149846,0.815
09-Oct-81,U.K. pound,0.071,1.905,0.135255,1.168
09-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.170712,
,,,     U.S.$1.00 = SDR,0.854181,
,,,       SDR1 = US$,1.17071,0.821
,,,,,
12-Oct-81,Deutsche mark,0.46,2.1805,0.210961,0.183
12-Oct-81,French franc,0.74,5.4775,0.135098,0.046
12-Oct-81,Japanese yen,34,227.07,0.149734,-0.075
12-Oct-81,U.K. pound,0.071,1.88,0.13348,-1.312
12-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.169273,
,,,     U.S.$1.00 = SDR,0.855232,
,,,       SDR1 = US$,1.16927,-0.123
,,,,,
13-Oct-81,Deutsche mark,0.46,2.2085,0.208286,-1.268
13-Oct-81,French franc,0.74,5.5337,0.133726,-1.016
13-Oct-81,Japanese yen,34,228.25,0.148959,-0.517
13-Oct-81,U.K. pound,0.071,1.8655,0.132451,-0.771
13-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.163422,
,,,     U.S.$1.00 = SDR,0.859533,
,,,       SDR1 = US$,1.16342,-0.5
,,,,,
14-Oct-81,Deutsche mark,0.46,2.2245,0.206788,-0.719
14-Oct-81,French franc,0.74,5.5765,0.1327,-0.768
14-Oct-81,Japanese yen,34,228.57,0.148751,-0.14
14-Oct-81,U.K. pound,0.071,1.854,0.131634,-0.616
14-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.159873,
,,,     U.S.$1.00 = SDR,0.862163,
,,,       SDR1 = US$,1.15987,-0.305
,,,,,
15-Oct-81,Deutsche mark,0.46,2.2075,0.208381,0.77
15-Oct-81,French franc,0.74,5.539,0.133598,0.677
15-Oct-81,Japanese yen,34,228.67,0.148686,-0.044
15-Oct-81,U.K. pound,0.071,1.8615,0.132167,0.405
15-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.162832,
,,,     U.S.$1.00 = SDR,0.859969,
,,,       SDR1 = US$,1.16283,0.255
,,,,,
16-Oct-81,Deutsche mark,0.46,2.2375,0.205587,-1.341
16-Oct-81,French franc,0.74,5.6075,0.131966,-1.222
16-Oct-81,Japanese yen,34,231.17,0.147078,-1.081
16-Oct-81,U.K. pound,0.071,1.8365,0.130392,-1.343
16-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.155023,
,,,     U.S.$1.00 = SDR,0.865784,
,,,       SDR1 = US$,1.15502,-0.672
,,,,,
19-Oct-81,Deutsche mark,0.46,2.239,0.205449,-0.067
19-Oct-81,French franc,0.74,5.616,0.131766,-0.151
19-Oct-81,Japanese yen,34,231.65,0.146773,-0.207
19-Oct-81,U.K. pound,0.071,1.8395,0.130605,0.163
19-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.154593,
,,,     U.S.$1.00 = SDR,0.866106,
,,,       SDR1 = US$,1.15459,-0.037
,,,,,
20-Oct-81,Deutsche mark,0.46,2.2268,0.206574,0.548
20-Oct-81,French franc,0.74,5.586,0.132474,0.537
20-Oct-81,Japanese yen,34,232.55,0.146205,-0.387
20-Oct-81,U.K. pound,0.071,1.836,0.130356,-0.19
20-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.155609,
,,,     U.S.$1.00 = SDR,0.865345,
,,,       SDR1 = US$,1.15561,0.088
,,,,,
21-Oct-81,Deutsche mark,0.46,2.2522,0.204245,-1.128
21-Oct-81,French franc,0.74,5.65,0.130973,-1.133
21-Oct-81,Japanese yen,34,233.52,0.145598,-0.415
21-Oct-81,U.K. pound,0.071,1.8265,0.129682,-0.517
21-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.150498,
,,,     U.S.$1.00 = SDR,0.869189,
,,,       SDR1 = US$,1.1505,-0.442
,,,,,
22-Oct-81,Deutsche mark,0.46,2.2645,0.203135,-0.543
22-Oct-81,French franc,0.74,5.6822,0.130231,-0.567
22-Oct-81,Japanese yen,34,233.62,0.145535,-0.043
22-Oct-81,U.K. pound,0.071,1.8185,0.129114,-0.438
22-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.148015,
,,,     U.S.$1.00 = SDR,0.871069,
,,,       SDR1 = US$,1.14802,-0.216
,,,,,
23-Oct-81,Deutsche mark,0.46,2.2765,0.202065,-0.527
23-Oct-81,French franc,0.74,5.71,0.129597,-0.487
23-Oct-81,Japanese yen,34,233.32,0.145723,0.129
23-Oct-81,U.K. pound,0.071,1.8185,0.129114,0
23-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.146499,
,,,     U.S.$1.00 = SDR,0.872221,
,,,       SDR1 = US$,1.1465,-0.132
,,,,,
26-Oct-81,Deutsche mark,0.46,2.316,0.198618,-1.706
26-Oct-81,French franc,0.74,5.8085,0.1274,-1.696
26-Oct-81,Japanese yen,34,235.77,0.144208,-1.039
26-Oct-81,U.K. pound,0.071,1.808,0.128368,-0.577
26-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.138594,
,,,     U.S.$1.00 = SDR,0.878276,
,,,       SDR1 = US$,1.13859,-0.69
,,,,,
27-Oct-81,Deutsche mark,0.46,2.3075,0.19935,0.368
27-Oct-81,French franc,0.74,5.7927,0.127747,0.273
27-Oct-81,Japanese yen,34,235.37,0.144453,0.17
27-Oct-81,U.K. pound,0.071,1.814,0.128794,0.332
27-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.140344,
,,,     U.S.$1.00 = SDR,0.876928,
,,,       SDR1 = US$,1.14034,0.154
,,,,,
28-Oct-81,Deutsche mark,0.46,2.2985,0.200131,0.392
28-Oct-81,French franc,0.74,5.772,0.128205,0.359
28-Oct-81,Japanese yen,34,234.47,0.145008,0.384
28-Oct-81,U.K. pound,0.071,1.8175,0.129043,0.193
28-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.142387,
,,,     U.S.$1.00 = SDR,0.87536,
,,,       SDR1 = US$,1.14239,0.18
,,,,,
29-Oct-81,Deutsche mark,0.46,2.294,0.200523,0.196
29-Oct-81,French franc,0.74,5.7555,0.128573,0.287
29-Oct-81,Japanese yen,34,235.32,0.144484,-0.361
29-Oct-81,U.K. pound,0.071,1.8235,0.129469,0.33
29-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.143049,
,,,     U.S.$1.00 = SDR,0.874853,
,,,       SDR1 = US$,1.14305,0.058
,,,,,
30-Oct-81,Deutsche mark,0.46,2.2552,0.203973,1.72
30-Oct-81,French franc,0.74,5.6675,0.130569,1.553
30-Oct-81,Japanese yen,34,233.45,0.145641,0.801
30-Oct-81,U.K. pound,0.071,1.845,0.130995,1.179
30-Oct-81,U.S. dollar,0.54,1,0.54,0
,,,,1.151178,
,,,     U.S.$1.00 = SDR,0.868675,
,,,       SDR1 = US$,1.15118,0.711
,,,,,
02-Nov-81,Deutsche mark,0.46,2.2267,0.206584,1.28
02-Nov-81,French franc,0.74,5.5925,0.13232,1.341
02-Nov-81,Japanese yen,34,230.3,0.147634,1.368
02-Nov-81,U.K. pound,0.071,1.8745,0.13309,1.599
02-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.159628,
,,,     U.S.$1.00 = SDR,0.862346,
,,,       SDR1 = US$,1.15963,0.734
,,,,,
03-Nov-81,Deutsche mark,0.46,2.2295,0.206324,-0.126
03-Nov-81,French franc,0.74,5.601,0.132119,-0.152
03-Nov-81,Japanese yen,34,229.25,0.14831,0.458
03-Nov-81,U.K. pound,0.071,1.864,0.132344,-0.56
03-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.159097,
,,,     U.S.$1.00 = SDR,0.862741,
,,,       SDR1 = US$,1.1591,-0.046
,,,,,
04-Nov-81,Deutsche mark,0.46,2.2065,0.208475,1.042
04-Nov-81,French franc,0.74,5.5547,0.133221,0.834
04-Nov-81,Japanese yen,34,227.62,0.149372,0.716
04-Nov-81,U.K. pound,0.071,1.8799,0.133473,0.853
04-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.164541,
,,,     U.S.$1.00 = SDR,0.858707,
,,,       SDR1 = US$,1.16454,0.469
,,,,,
05-Nov-81,Deutsche mark,0.46,2.2129,0.207872,-0.289
05-Nov-81,French franc,0.74,5.57,0.132855,-0.275
05-Nov-81,Japanese yen,34,227.65,0.149352,-0.013
05-Nov-81,U.K. pound,0.071,1.8763,0.133217,-0.191
05-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.163296,
,,,     U.S.$1.00 = SDR,0.859626,
,,,       SDR1 = US$,1.1633,-0.106
,,,,,
06-Nov-81,Deutsche mark,0.46,2.2225,0.206974,-0.432
06-Nov-81,French franc,0.74,5.615,0.13179,-0.801
06-Nov-81,Japanese yen,34,228.82,0.148588,-0.511
06-Nov-81,U.K. pound,0.071,1.8725,0.132948,-0.203
06-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.1603,
,,,     U.S.$1.00 = SDR,0.861846,
,,,       SDR1 = US$,1.1603,-0.258
,,,,,
09-Nov-81,Deutsche mark,0.46,2.1979,0.209291,1.119
09-Nov-81,French franc,0.74,5.558,0.133141,1.026
09-Nov-81,Japanese yen,34,226.55,0.150077,1.002
09-Nov-81,U.K. pound,0.071,1.8945,0.13451,1.175
09-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.167019,
,,,     U.S.$1.00 = SDR,0.856884,
,,,       SDR1 = US$,1.16702,0.579
,,,,,
10-Nov-81,Deutsche mark,0.46,2.22,0.207207,-0.995
10-Nov-81,French franc,0.74,5.6005,0.132131,-0.759
10-Nov-81,Japanese yen,34,229.57,0.148103,-1.316
10-Nov-81,U.K. pound,0.071,1.875,0.133125,-1.029
10-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.160566,
,,,     U.S.$1.00 = SDR,0.861649,
,,,       SDR1 = US$,1.16057,-0.553
,,,,,
11-Nov-81,Deutsche mark,0.46,2.2125,0.20791,0.339
11-Nov-81,French franc,0.74,5.5975,0.132202,0.054
11-Nov-81,Japanese yen,34,228.52,0.148783,0.459
11-Nov-81,U.K. pound,0.071,1.878,0.133338,0.16
11-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.162233,
,,,     U.S.$1.00 = SDR,0.860413,
,,,       SDR1 = US$,1.16223,0.143
,,,,,
12-Nov-81,Deutsche mark,0.46,2.2085,0.208286,0.181
12-Nov-81,French franc,0.74,5.5725,0.132795,0.449
12-Nov-81,Japanese yen,34,226.87,0.149866,0.727
12-Nov-81,U.K. pound,0.071,1.8874,0.134005,0.501
12-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.164952,
,,,     U.S.$1.00 = SDR,0.858404,
,,,       SDR1 = US$,1.16495,0.234
,,,,,
13-Nov-81,Deutsche mark,0.46,2.2132,0.207844,-0.212
13-Nov-81,French franc,0.74,5.5762,0.132707,-0.066
13-Nov-81,Japanese yen,34,227.17,0.149668,-0.132
13-Nov-81,U.K. pound,0.071,1.904,0.135184,0.88
13-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.165403,
,,,     U.S.$1.00 = SDR,0.858072,
,,,       SDR1 = US$,1.1654,0.039
,,,,,
16-Nov-81,Deutsche mark,0.46,2.2381,0.205531,-1.113
16-Nov-81,French franc,0.74,5.6475,0.131031,-1.263
16-Nov-81,Japanese yen,34,226.8,0.149912,0.163
16-Nov-81,U.K. pound,0.071,1.9234,0.136561,1.019
16-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.163035,
,,,     U.S.$1.00 = SDR,0.859819,
,,,       SDR1 = US$,1.16304,-0.203
,,,,,
17-Nov-81,Deutsche mark,0.46,2.2405,0.205311,-0.107
17-Nov-81,French franc,0.74,5.6575,0.1308,-0.177
17-Nov-81,Japanese yen,34,224.02,0.151772,1.241
17-Nov-81,U.K. pound,0.071,1.906,0.135326,-0.905
17-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.163209,
,,,     U.S.$1.00 = SDR,0.859691,
,,,       SDR1 = US$,1.16321,0.015
,,,,,
18-Nov-81,Deutsche mark,0.46,2.2463,0.204781,-0.258
18-Nov-81,French franc,0.74,5.667,0.130581,-0.168
18-Nov-81,Japanese yen,34,223.07,0.152419,0.426
18-Nov-81,U.K. pound,0.071,1.8935,0.134439,-0.656
18-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.16222,
,,,     U.S.$1.00 = SDR,0.860422,
,,,       SDR1 = US$,1.16222,-0.085
,,,,,
19-Nov-81,Deutsche mark,0.46,2.2256,0.206686,0.93
19-Nov-81,French franc,0.74,5.614,0.131813,0.944
19-Nov-81,Japanese yen,34,219.07,0.155202,1.826
19-Nov-81,U.K. pound,0.071,1.922,0.136462,1.505
19-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.170163,
,,,     U.S.$1.00 = SDR,0.854582,
,,,       SDR1 = US$,1.17016,0.683
,,,,,
20-Nov-81,Deutsche mark,0.46,2.2435,0.205037,-0.798
20-Nov-81,French franc,0.74,5.659,0.130765,-0.795
20-Nov-81,Japanese yen,34,218.79,0.1554,0.128
20-Nov-81,U.K. pound,0.071,1.908,0.135468,-0.728
20-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.16667,
,,,     U.S.$1.00 = SDR,0.85714,
,,,       SDR1 = US$,1.16667,-0.298
,,,,,
23-Nov-81,Deutsche mark,0.46,2.2663,0.202974,-1.006
23-Nov-81,French franc,0.74,5.7165,0.12945,-1.006
23-Nov-81,Japanese yen,34,216.87,0.156776,0.885
23-Nov-81,U.K. pound,0.071,1.8943,0.134495,-0.718
23-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.163695,
,,,     U.S.$1.00 = SDR,0.859332,
,,,       SDR1 = US$,1.1637,-0.255
,,,,,
24-Nov-81,Deutsche mark,0.46,2.2375,0.205587,1.287
24-Nov-81,French franc,0.74,5.6495,0.130985,1.186
24-Nov-81,Japanese yen,34,217.12,0.156595,-0.115
24-Nov-81,U.K. pound,0.071,1.909,0.135539,0.776
24-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.168706,
,,,     U.S.$1.00 = SDR,0.855647,
,,,       SDR1 = US$,1.16871,0.431
,,,,,
25-Nov-81,Deutsche mark,0.46,2.2287,0.206398,0.395
25-Nov-81,French franc,0.74,5.6225,0.131614,0.48
25-Nov-81,Japanese yen,34,216.6,0.156971,0.24
25-Nov-81,U.K. pound,0.071,1.9243,0.136625,0.801
25-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.171608,
,,,     U.S.$1.00 = SDR,0.853528,
,,,       SDR1 = US$,1.17161,0.248
,,,,,
26-Nov-81,Deutsche mark,0.46,2.2225,0.206974,0.279
26-Nov-81,French franc,0.74,5.61,0.131907,0.223
26-Nov-81,Japanese yen,34,216.12,0.15732,0.222
26-Nov-81,U.K. pound,0.071,1.9405,0.137776,0.842
26-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.173977,
,,,     U.S.$1.00 = SDR,0.851805,
,,,       SDR1 = US$,1.17398,0.202
,,,,,
27-Nov-81,Deutsche mark,0.46,2.2245,0.206788,-0.09
27-Nov-81,French franc,0.74,5.609,0.131931,0.018
27-Nov-81,Japanese yen,34,216.2,0.157262,-0.037
27-Nov-81,U.K. pound,0.071,1.948,0.138308,0.386
27-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.174289,
,,,     U.S.$1.00 = SDR,0.851579,
,,,       SDR1 = US$,1.17429,0.026
,,,,,
30-Nov-81,Deutsche mark,0.46,2.2037,0.20874,0.944
30-Nov-81,French franc,0.74,5.5582,0.133137,0.914
30-Nov-81,Japanese yen,34,213.87,0.158975,1.089
30-Nov-81,U.K. pound,0.071,1.97,0.13987,1.129
30-Nov-81,U.S. dollar,0.54,1,0.54,0
,,,,1.180722,
,,,     U.S.$1.00 = SDR,0.846939,
,,,       SDR1 = US$,1.18072,0.548
,,,,,
01-Dec-81,Deutsche mark,0.46,2.2165,0.207534,-0.577
01-Dec-81,French franc,0.74,5.5965,0.132225,-0.684
01-Dec-81,Japanese yen,34,215.3,0.157919,-0.664
01-Dec-81,U.K. pound,0.071,1.9534,0.138691,-0.843
01-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.176369,
,,,     U.S.$1.00 = SDR,0.850073,
,,,       SDR1 = US$,1.17637,-0.368
,,,,,
02-Dec-81,Deutsche mark,0.46,2.228,0.206463,-0.516
02-Dec-81,French franc,0.74,5.63,0.131439,-0.595
02-Dec-81,Japanese yen,34,216.05,0.157371,-0.347
02-Dec-81,U.K. pound,0.071,1.9485,0.138344,-0.251
02-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.173617,
,,,     U.S.$1.00 = SDR,0.852067,
,,,       SDR1 = US$,1.17362,-0.234
,,,,,
03-Dec-81,Deutsche mark,0.46,2.231,0.206186,-0.134
03-Dec-81,French franc,0.74,5.6312,0.131411,-0.021
03-Dec-81,Japanese yen,34,216.07,0.157356,-0.009
03-Dec-81,U.K. pound,0.071,1.933,0.137243,-0.795
03-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.172196,
,,,     U.S.$1.00 = SDR,0.8531,
,,,       SDR1 = US$,1.1722,-0.121
,,,,,
04-Dec-81,Deutsche mark,0.46,2.2217,0.207049,0.419
04-Dec-81,French franc,0.74,5.605,0.132025,0.467
04-Dec-81,Japanese yen,34,216,0.157407,0.032
04-Dec-81,U.K. pound,0.071,1.9505,0.138486,0.905
04-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.174967,
,,,     U.S.$1.00 = SDR,0.851088,
,,,       SDR1 = US$,1.17497,0.236
,,,,,
07-Dec-81,Deutsche mark,0.46,2.228,0.206463,-0.283
07-Dec-81,French franc,0.74,5.6225,0.131614,-0.311
07-Dec-81,Japanese yen,34,216.27,0.157211,-0.125
07-Dec-81,U.K. pound,0.071,1.948,0.138308,-0.128
07-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.173596,
,,,     U.S.$1.00 = SDR,0.852082,
,,,       SDR1 = US$,1.1736,-0.117
,,,,,
08-Dec-81,Deutsche mark,0.46,2.2475,0.204672,-0.868
08-Dec-81,French franc,0.74,5.6737,0.130426,-0.902
08-Dec-81,Japanese yen,34,217.57,0.156272,-0.598
08-Dec-81,U.K. pound,0.071,1.9337,0.137293,-0.734
08-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.168663,
,,,     U.S.$1.00 = SDR,0.855679,
,,,       SDR1 = US$,1.16866,-0.421
,,,,,
09-Dec-81,Deutsche mark,0.46,2.2454,0.204863,0.094
09-Dec-81,French franc,0.74,5.675,0.130396,-0.023
09-Dec-81,Japanese yen,34,218.3,0.155749,-0.334
09-Dec-81,U.K. pound,0.071,1.9225,0.136498,-0.579
09-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.167506,
,,,     U.S.$1.00 = SDR,0.856527,
,,,       SDR1 = US$,1.16751,-0.098
,,,,,
10-Dec-81,Deutsche mark,0.46,2.2465,0.204763,-0.049
10-Dec-81,French franc,0.74,5.6937,0.129968,-0.328
10-Dec-81,Japanese yen,34,219.2,0.155109,-0.411
10-Dec-81,U.K. pound,0.071,1.9035,0.135149,-0.988
10-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.164989,
,,,     U.S.$1.00 = SDR,0.858377,
,,,       SDR1 = US$,1.16499,-0.216
,,,,,
11-Dec-81,Deutsche mark,0.46,2.2548,0.204009,-0.368
11-Dec-81,French franc,0.74,5.7265,0.129224,-0.573
11-Dec-81,Japanese yen,34,218.65,0.1555,0.252
11-Dec-81,U.K. pound,0.071,1.881,0.133551,-1.182
11-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.162284,
,,,     U.S.$1.00 = SDR,0.860375,
,,,       SDR1 = US$,1.16228,-0.233
,,,,,
14-Dec-81,Deutsche mark,0.46,2.29,0.200873,-1.537
14-Dec-81,French franc,0.74,5.795,0.127696,-1.182
14-Dec-81,Japanese yen,34,221.2,0.153707,-1.153
14-Dec-81,U.K. pound,0.071,1.862,0.132202,-1.01
14-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.154478,
,,,     U.S.$1.00 = SDR,0.866192,
,,,       SDR1 = US$,1.15448,-0.671
,,,,,
15-Dec-81,Deutsche mark,0.46,2.2775,0.201976,0.549
15-Dec-81,French franc,0.74,5.7735,0.128172,0.372
15-Dec-81,Japanese yen,34,219.63,0.154806,0.715
15-Dec-81,U.K. pound,0.071,1.8758,0.133182,0.741
15-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.158136,
,,,     U.S.$1.00 = SDR,0.863456,
,,,       SDR1 = US$,1.15814,0.317
,,,,,
16-Dec-81,Deutsche mark,0.46,2.2692,0.202715,0.366
16-Dec-81,French franc,0.74,5.75,0.128696,0.409
16-Dec-81,Japanese yen,34,218.03,0.155942,0.734
16-Dec-81,U.K. pound,0.071,1.895,0.134545,1.024
16-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.161898,
,,,     U.S.$1.00 = SDR,0.860661,
,,,       SDR1 = US$,1.1619,0.325
,,,,,
17-Dec-81,Deutsche mark,0.46,2.2712,0.202536,-0.088
17-Dec-81,French franc,0.74,5.7515,0.128662,-0.026
17-Dec-81,Japanese yen,34,217.85,0.156071,0.083
17-Dec-81,U.K. pound,0.071,1.894,0.134474,-0.053
17-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.161743,
,,,     U.S.$1.00 = SDR,0.860776,
,,,       SDR1 = US$,1.16174,-0.014
,,,,,
18-Dec-81,Deutsche mark,0.46,2.2915,0.200742,-0.886
18-Dec-81,French franc,0.74,5.802,0.127542,-0.87
18-Dec-81,Japanese yen,34,219.4,0.154968,-0.706
18-Dec-81,U.K. pound,0.071,1.874,0.133054,-1.056
18-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.156306,
,,,     U.S.$1.00 = SDR,0.864823,
,,,       SDR1 = US$,1.15631,-0.467
,,,,,
21-Dec-81,Deutsche mark,0.46,2.2835,0.201445,0.35
21-Dec-81,French franc,0.74,5.785,0.127917,0.294
21-Dec-81,Japanese yen,34,219.85,0.154651,-0.205
21-Dec-81,U.K. pound,0.071,1.878,0.133338,0.213
21-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.157351,
,,,     U.S.$1.00 = SDR,0.864042,
,,,       SDR1 = US$,1.15735,0.09
,,,,,
22-Dec-81,Deutsche mark,0.46,2.2712,0.202536,0.542
22-Dec-81,French franc,0.74,5.75,0.128696,0.609
22-Dec-81,Japanese yen,34,219.45,0.154933,0.182
22-Dec-81,U.K. pound,0.071,1.885,0.133835,0.373
22-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.16,
,,,     U.S.$1.00 = SDR,0.862069,
,,,       SDR1 = US$,1.16,0.229
,,,,,
23-Dec-81,Deutsche mark,0.46,2.2742,0.202269,-0.132
23-Dec-81,French franc,0.74,5.75,0.128696,0
23-Dec-81,Japanese yen,34,220.17,0.154426,-0.327
23-Dec-81,U.K. pound,0.071,1.8956,0.134588,0.562
23-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.159979,
,,,     U.S.$1.00 = SDR,0.862085,
,,,       SDR1 = US$,1.15998,-0.002
,,,,,
24-Dec-81,Deutsche mark,0.46,2.2785,0.201887,-0.189
24-Dec-81,French franc,0.74,5.77,0.12825,-0.347
24-Dec-81,Japanese yen,34,221.15,0.153742,-0.443
24-Dec-81,U.K. pound,0.071,1.89,0.13419,-0.295
24-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.158069,
,,,     U.S.$1.00 = SDR,0.863506,
,,,       SDR1 = US$,1.15807,-0.165
,,,,,
28-Dec-81,Deutsche mark,0.46,2.2685,0.202777,0.441
28-Dec-81,French franc,0.74,5.745,0.128808,0.435
28-Dec-81,Japanese yen,34,222.65,0.152706,-0.674
28-Dec-81,U.K. pound,0.071,1.8908,0.134247,0.042
28-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.158538,
,,,     U.S.$1.00 = SDR,0.863157,
,,,       SDR1 = US$,1.15854,0.041
,,,,,
29-Dec-81,Deutsche mark,0.46,2.2712,0.202536,-0.119
29-Dec-81,French franc,0.74,5.7375,0.128976,0.131
29-Dec-81,Japanese yen,34,221.5,0.153499,0.519
29-Dec-81,U.K. pound,0.071,1.893,0.134403,0.116
29-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.159414,
,,,     U.S.$1.00 = SDR,0.862505,
,,,       SDR1 = US$,1.15941,0.075
,,,,,
30-Dec-81,Deutsche mark,0.46,2.2662,0.202983,0.221
30-Dec-81,French franc,0.74,5.733,0.129077,0.078
30-Dec-81,Japanese yen,34,219.7,0.154756,0.819
30-Dec-81,U.K. pound,0.071,1.9004,0.134928,0.391
30-Dec-81,U.S. dollar,0.54,1,0.54,0
,,,,1.161744,
,,,     U.S.$1.00 = SDR,0.860775,
,,,       SDR1 = US$,1.16174,0.201
,,,,,
31-Dec-81,Deutsche mark,0.46,2.2525,0.204218,0.608
31-Dec-81,French franc,0.74,5.715,0.129484,0.315
31-Dec-81,Japanese yen,34,219.65,0.154792,0.023
31-Dec-81,U.K. pound,0.071,1.908,0.135468,0.4
